from,to,weight,relation,participation,count
BrBr,25,1,1,1,1
BrMa,25,1,1,1,1
Dang,25,1,1,1,1
GregKu,25,3,1,3,3
MaxM,25,1,1,1,1
PaulE,25,1,1,1,2
Philip,25,1,1,1,1
RyanT,25,1,1,1,1
SamuelD,25,1,1,1,1
Shel,25,1,1,1,1
Tobi,25,1,1,1,1
Adel,25,7,2,7,11
AliP,1989,1,1,1,1
Imog,1989,1,1,1,1
JaAn,1989,1,1,1,2
MaxM,1989,3,1,5,7
RyanT,1989,1,1,1,2
Shel,1989,3,1,5,7
Tayl,1989,7,2,7,13
BobDy,19by,1,1,1,1
Clay,19by,1,1,1,1
EgWh,19by,3,1,3,3
JeffSi,19by,1,1,1,1
LeMi,19by,1,1,1,1
NickMov,19by,1,1,1,1
Sach,19by,1,1,1,1
Adel,19by,5,2,7,11
Bori,21by,1,1,1,1
DanWi,21by,3,1,3,3
EgWh,21by,1,1,1,1
Fras,21by,1,1,1,1
GregWe,21by,1,1,1,1
Laurence,21by,1,1,1,1
PaulE,21by,3,1,3,3
Porl,21by,1,1,1,1
RobertSm,21by,1,1,1,1
Roger,21by,1,1,1,1
RyanT,21by,1,1,1,2
SimonGa,21by,1,1,1,1
Adel,21by,5,2,7,11
ChuckB,Abbe,1,1,1,1
Geor,Abbe,1,2,1,2
JohnL,Abbe,5,2,7,14
PaulMc,Abbe,5,2,7,14
Ring,Abbe,1,2,1,1
Bell,Afte,3,1,5,7
Bern,Afte,1,1,1,1
DaHe,Afte,3,1,5,6
DreM,Afte,1,1,1,1
Elto,Afte,1,1,1,1
FrankD,Afte,1,1,1,1
Illa,Afte,3,1,5,7
Kaan,Afte,1,1,1,1
KevinP,Afte,1,1,1,1
Mario,Afte,1,1,1,1
MaxM,Afte,3,1,3,5
Metr,Afte,3,1,3,4
MikeM,Afte,1,1,1,1
Noti,Afte,1,1,1,1
Oneo,Afte,3,1,3,3
OsHo,Afte,3,1,3,5
Princ,Afte,1,1,1,1
Rick,Afte,1,1,1,1
TheW,Afte,5,2,7,14
JohnN,Ahea,1,1,1,1
Mikke,Ahea,1,1,1,1
Rumi,Ahea,1,1,1,2
TorE,Ahea,1,1,1,1
ChrisM,Ahea,5,2,7,10
GuyB,Ahea,5,2,7,10
JonnyB,Ahea,5,2,7,10
WillC,Ahea,5,2,7,10
Buck,Apen,1,1,1,1
IrvingB,Apen,1,1,1,1
JCCh,Apen,1,1,1,1
JustinTi,Apen,1,1,1,1
Kany,Apen,1,1,1,1
KimG,Apen,1,1,1,1
Leon,Apen,1,1,1,1
NoID,Apen,1,1,1,1
Rola,Apen,1,1,1,1
Trad,Apen,3,1,3,4
VincentD,Apen,1,1,1,1
WalterKe,Apen,1,1,1,1
Kevi,Apen,1,2,1,1
Kirs,Apen,1,2,1,1
ScottH,Apen,1,2,1,2
Amit,ArtP,1,1,1,1
Anju,ArtP,1,1,1,1
DavidGu,ArtP,1,1,1,1
Dino,ArtP,3,1,5,7
DJSn,ArtP,3,1,3,3
DJWh,ArtP,5,1,7,11
Erez,ArtP,1,1,1,1
GiorgioTu,ArtP,1,1,1,1
JulienAr,ArtP,1,1,1,1
Madeo,ArtP,3,1,3,3
NickMon,ArtP,3,1,5,7
NicolasMe,ArtP,1,1,1,1
RedO,ArtP,1,1,1,1
SteveGu,ArtP,3,1,3,3
SunR,ArtP,1,1,1,1
Tcha,ArtP,3,1,3,3
william,ArtP,1,1,1,1
Zedd,ArtP,3,1,3,3
LadyGa,ArtP,7,2,7,15
RKel,ArtP,1,3,1,1
TI,ArtP,1,3,1,1
TooSh,ArtP,1,3,1,1
Twis,ArtP,1,3,1,1
AaronR,ASta,1,1,3,3
AndrewWy,ASta,1,1,1,1
AnthonyR,ASta,1,1,1,1
Diane,ASta,1,1,1,1
DJWh,ASta,3,1,5,6
Edit,ASta,1,1,1,1
Hill,ASta,1,1,1,2
JasonI,ASta,1,1,1,1
JuliaM,ASta,1,1,1,1
JustinTr,ASta,1,1,1,1
LoriM,ASta,1,1,1,1
Louig,ASta,1,1,1,1
Luka,ASta,3,1,5,8
MarkN,ASta,3,1,5,6
MarkR,ASta,1,1,1,1
Nata,ASta,1,1,1,2
NickMon,ASta,3,1,5,6
PaulK,ASta,1,1,1,1
Brad,ASta,3,2,3,4
LadyGa,ASta,5,2,7,12
BenLo,Babe,7,2,7,12
MarcusMu,Babe,7,2,7,12
TedDw,Babe,7,2,7,12
Wins,Babe,7,2,7,12
AnAr,BE,1,1,1,1
Arst,BE,1,1,1,1
ChrisJa,BE,1,1,1,1
Cosm,BE,1,1,1,1
DavidS,BE,1,1,1,1
ELCA,BE,1,1,1,1
GHST,BE,1,1,1,1
HisN,BE,3,1,1,2
Ivan,BE,1,1,1,1
Jessi,BE,1,1,1,1
JoeF,BE,1,1,1,1
Levi,BE,1,1,1,1
Meta,BE,1,1,1,1
Nive,BE,1,1,1,1
PDog,BE,1,1,1,2
Randy,BE,1,1,1,1
Ruut,BE,1,1,1,1
jhop,BE,5,2,3,5
Jimi,BE,3,2,1,2
JIN,BE,3,2,1,2
Jungk,BE,3,2,3,3
RM,BE,5,2,5,7
SUGA,BE,5,2,5,6
V,BE,3,2,1,2
AliK,Beau,1,1,1,1
AliP,Beau,3,1,3,3
Bell,Beau,3,1,3,5
BenB,Beau,3,1,3,4
CarlM,Beau,1,1,1,1
CheP,Beau,1,1,1,1
DaHe,Beau,3,1,5,6
Dann,Beau,3,1,3,4
DJKha,Beau,1,1,1,1
Illa,Beau,3,1,5,6
Kany,Beau,1,1,1,1
Mano,Beau,1,1,1,1
MaxM,Beau,1,1,1,2
MIKE,Beau,1,1,1,1
Noah,Beau,1,1,1,1
Osma,Beau,1,1,1,1
PeterSv,Beau,3,1,3,3
Rober,Beau,1,1,1,1
Sabah,Beau,1,1,1,1
Sava,Beau,3,1,3,3
Step,Beau,3,1,3,3
Thoma,Beau,1,1,1,2
ThomasT,Beau,1,1,1,1
TheW,Beau,7,2,7,14
EdSh,Beau,1,3,1,1
Labr,Beau,1,3,1,1
Lana,Beau,1,3,1,1
AdamM,Beli,1,1,1,2
AlexDez,Beli,1,1,1,1
AndreL,Beli,1,1,1,1
AntonioD,Beli,1,1,1,1
ArRe,Beli,1,1,1,1
Baby,Beli,1,1,1,1
BenMa,Beli,1,1,1,1
Berr,Beli,1,1,1,1
black,Beli,1,1,1,1
DamonT,Beli,1,1,1,1
DanKa,Beli,1,1,1,1
DannyW,Beli,1,1,1,1
DarrenB,Beli,1,1,1,1
Deke,Beli,1,1,1,1
Denn,Beli,1,1,1,1
Dipl,Beli,1,1,1,1
EricBe,Beli,1,1,1,2
EricDa,Beli,1,1,1,1
Fonc,Beli,1,1,1,1
FreddiePe,Beli,1,1,1,1
Grae,Beli,1,1,1,1
Herb,Beli,1,1,1,1
HitB,Beli,1,1,1,1
JacobL,Beli,1,1,1,1
JHar,Beli,1,1,1,1
JonnyGr,Beli,1,1,1,1
JustinBi,Beli,5,1,7,12
KellyLu,Beli,1,1,1,1
Maej,Beli,1,1,1,1
MaxM,Beli,1,1,1,1
MdL,Beli,1,1,1,2
MikePos,Beli,1,1,1,1
Nasr,Beli,3,1,3,3
NiMi,Beli,1,1,1,1
Nius,Beli,1,1,1,1
PatrickJQ,Beli,1,1,1,1
Rodn,Beli,1,1,1,2
Ross,Beli,1,1,1,1
Sava,Beli,1,1,1,1
SirN,Beli,1,1,1,2
SoFL,Beli,1,1,1,1
TommyPa,Beli,1,1,1,1
Trav,Beli,1,1,1,1
Zedd,Beli,1,1,1,1
BigS,Beli,1,3,1,1
Drak,Beli,1,3,1,1
Luda,Beli,1,3,1,1
AStr,BeTr,1,1,1,1
BillyMa,BeTr,1,1,1,1
busb,BeTr,1,1,1,2
ChMe,BeTr,1,1,1,1
GregKu,BeTr,1,1,1,2
JaAn,BeTr,1,1,1,2
JaJe,BeTr,1,1,1,1
JohnnyMc,BeTr,1,1,1,1
JuliaM,BeTr,1,1,1,2
MaLa,BeTr,1,1,1,1
MaxM,BeTr,3,1,3,4
OsHo,BeTr,1,1,1,1
RoFr,BeTr,1,1,1,1
Ross,BeTr,1,1,1,1
SaDe,BeTr,1,1,1,1
Shel,BeTr,3,1,3,3
SteveMa,BeTr,1,1,1,1
Tobi,BeTr,1,1,1,1
Pink,BeTr,7,2,7,13
Emin,BeTr,1,3,1,1
40,Beyo,1,1,1,1
Ammo,Beyo,1,1,1,1
BOOT,Beyo,3,1,3,5
BrianS,Beyo,1,1,1,2
CarolinePo,Beyo,1,1,1,1
Deta,Beyo,1,1,1,2
DreM,Beyo,1,1,1,2
Haze,Beyo,1,1,1,1
HitB,Beyo,1,1,1,1
JaFa,Beyo,3,1,3,3
JordanUl,Beyo,1,1,1,1
JRoc,Beyo,3,1,3,4
JustinTi,Beyo,3,1,3,3
KeYW,Beyo,1,1,1,2
Lyri,Beyo,1,1,1,2
Migu,Beyo,1,1,1,1
Omen,Beyo,1,1,1,1
Phar,Beyo,1,1,1,2
RayR,Beyo,1,1,1,1
RyanT,Beyo,1,1,1,1
Sia,Beyo,1,1,1,1
Sool,Beyo,1,1,1,2
TheD,Beyo,3,1,3,4
Timb,Beyo,3,1,3,4
Beyonc,Beyo,7,2,7,14
Drak,Beyo,1,3,1,1
FrankOc,Beyo,1,3,1,1
JAYZ,Beyo,1,3,1,1
BobBh,Blac,1,1,1,1
Mari,Blac,1,1,1,1
Paul,Blac,1,1,1,1
DavidBo,Blac,7,2,5,7
Budd,Blue,1,1,1,1
Eddie,Blue,1,1,1,1
Ewar,Blue,1,1,1,1
Howl,Blue,1,1,1,1
Jerr,Blue,1,1,1,1
JimmyR,Blue,1,1,1,1
Lerm,Blue,1,1,1,1
Litt,Blue,3,1,3,3
Magi,Blue,1,1,1,1
Mile,Blue,1,1,1,1
Otis,Blue,1,1,1,1
Willi,Blue,1,1,1,2
MikeE,Blur,1,1,1,1
Tyle,Blur,7,2,7,14
TimS,Bohe,1,1,1,1
BrianM,Bohe,3,2,5,9
Fredd,Bohe,3,2,7,11
JohnD,Bohe,1,2,3,4
Roge,Bohe,1,2,3,3
DavidBo,Bohe,1,3,1,1
BrianLe,BornTh,1,1,1,1
Chec,BornTh,1,1,1,1
Clin,BornTh,1,1,1,1
DJSn,BornTh,1,1,1,1
DJWh,BornTh,3,1,5,7
Fern,BornTh,3,1,5,8
Jepp,BornTh,1,1,1,2
RedO,BornTh,3,1,3,3
LadyGa,BornTh,5,2,7,14
ChrisBra,BornTo,1,1,1,1
DanHe,BornTo,1,1,1,1
DavidSn,BornTo,1,1,1,1
EmHa,BornTo,1,1,1,1
JamesBa,BornTo,1,1,1,1
JimIr,BornTo,1,1,1,1
JustinPar,BornTo,3,1,3,5
MikeDal,BornTo,1,1,1,1
Penn,BornTo,1,1,1,1
RickNo,BornTo,1,1,1,2
TimLa,BornTo,1,1,1,2
Lana,BornTo,7,2,7,12
AdamM,Chan,1,1,1,1
AlDa,Chan,1,1,1,1
AshleyB,Chan,1,1,3,3
AshleyJ,Chan,1,1,1,2
BillyWa,Chan,1,1,1,1
Boi1,Chan,1,1,1,1
Cour,Chan,1,1,1,1
CVRE,Chan,1,1,1,1
DanielD,Chan,1,1,1,1
Derr,Chan,1,1,3,3
Digi,Chan,1,1,1,1
Domi,Chan,2,1,3,4
HARV,Chan,2,1,3,4
JaVa,Chan,1,1,1,2
JimmyG,Chan,2,1,3,4
JoshuaG,Chan,1,1,1,2
JoshuaW,Chan,1,1,1,1
KidC,Chan,1,1,1,2
Laxc,Chan,1,1,1,1
LouisBe,Chan,1,1,1,1
Majid,Chan,1,1,1,1
Mane,Chan,1,1,1,1
MIKE,Chan,1,1,1,1
Moke,Chan,1,1,1,1
Nasr,Chan,1,1,1,1
Nine,Chan,1,1,1,1
Olan,Chan,1,1,1,1
PhilB,Chan,1,1,1,1
