id,name,type,sex,origin,genre,language,year,tracks,second year
40,40,1,2,7,99,99,99,99,99
divi,÷ by Ed Sheeran,2,55,55,1,1,2017,12,2018
19by,19 by Adele,2,55,55,12,1,2011,12,55
1989,1989 by Taylor Swift,2,55,55,1,1,2014,13,2015
21by,21 by Adele,2,55,55,1,1,2011,12,2012
KMag,24K Magic,2,55,55,7,1,2016,9,2017
25,25 by Adele,2,55,55,1,1,2015,11,2017
fiftyCe,50 Cent,1,2,2,99,99,99,99,99
fivextwenty,5x20 All the BEST!! 1999-2019 by ARASHI,2,55,55,14,6,2019,67,55
seventhA,7th Avenue,1,99,99,99,99,99,99,99
Wonder,9th Wonder,1,2,2,99,99,99,99,99
Aboo,A Boogie wit da Hoodie,1,2,2,99,99,99,99,99
Ahea,A head full of dreams by Coldplay,2,55,55,1,1,2015,12,2017
Apen,A Pentatonix Chrismas by Pentatonix,2,55,55,13,1,2016,11,55
ASta,A Star is Born OST by Lady Gaga & Bradley Cooper,2,55,55,1,1,2018,18,2019
AStr,A Strut,1,2,9,99,99,99,99,99
AKJa,A.K.Janeway,1,99,99,99,99,99,99,99
Aali,Aalias,1,2,2,99,99,99,99,99
AaronD,Aaron Dessner,1,2,2,99,99,99,99,99
AaronP,Aaron Pearce,1,2,99,99,99,99,99,99
AaronR,Aaron Raitiere,1,2,2,99,99,99,99,99
Abbe,Abbey Road by The Beatles,2,55,55,4,1,2019,17,55
AdRo,Ad-Rock,1,2,2,99,99,99,99,99
AdamB,Adam Baptiste,1,2,9,99,99,99,99,99
AdCa,Adam Cayton,1,2,10,99,99,99,99,99
Adam,Adam Martin,1,2,8,99,99,99,99,99
AdamM,Adam Messinger,1,2,7,99,99,99,99,99
Adel,Adele,1,1,1,99,99,99,99,99
ADNL,ADN Lewis,1,2,2,99,99,99,99,99
Adon,Adonis,1,2,2,99,99,99,99,99
ADOR,ADORA,1,1,10,99,99,99,99,99
Adri,Adrienne Anderson,1,1,2,99,99,99,99,99
Afte,After Hours by The Weeknd,2,55,55,7,1,2020,14,55
AhnB,Ahn Bok-jin,1,99,99,99,99,99,99,99
Aion,Aion Clarke,1,99,99,99,99,99,99,99
AJJu,AJ Junior,1,2,9,99,99,99,99,99
AlDa,Al Darwish,1,2,10,99,99,99,99,99
AlanC,Alan Chang,1,2,2,99,99,99,99,99
Alan,Alan Lomax,1,99,99,99,99,99,99,99
AlMa,Alan Merrill,1,2,2,99,99,99,99,99
AlanP,Alan Parsons,1,2,1,99,99,99,99,99
AlHa,Alana Haim,1,1,2,99,99,99,99,99
Albe,Albert Winkler,1,2,99,99,99,99,99,99
Albi,Albin Nedler,1,2,9,99,99,99,99,99
Alexda,Alex da Kid,1,2,1,99,99,99,99,99
AlexDel,Alex Delicata,1,2,2,99,99,99,99,99
