from,to,weight,relation,participation,count
BePa,TGrS,7,2,7,22
JuPa,TGrS,7,2,7,22
RyLe,TGrS,1,1,1,2
MeJF,LYSA,1,1,1,1
ADOR,LYSA,1,1,3,4
SBoi,LYSA,3,1,7,9
DJSw,LYSA,1,1,3,4
Sosa,LYSA,1,1,3,4
Bang,LYSA,3,1,7,15
RM,LYSA,5,2,7,21
HisN,LYSA,1,1,3,3
jhop,LYSA,3,2,7,10
AshF,LYSA,1,1,3,4
RMDJ,LYSA,1,1,3,4
SRab,LYSA,3,1,5,6
SUGA,LYSA,3,2,7,11
KASS,LYSA,1,1,1,2
PDog,LYSA,3,1,7,14
AlKa,LYSA,1,1,1,1
MaTi,LYSA,1,1,1,1
RoSp,LYSA,1,1,1,1
AnWe,LYSA,1,1,1,1
NoCo,LYSA,1,1,1,1
JaTo,LYSA,1,1,1,1
Aoki,LYSA,1,3,1,1
SMSu,LYSA,1,1,1,1
DOCS,LYSA,1,1,1,1
DYSO,LYSA,1,1,1,1
YoGu,LYSA,1,1,1,1
BoCh,LYSA,1,1,1,2
SaHa,LYSA,1,1,1,1
AlTa,LYSA,1,1,3,3
RoCa,LYSA,1,1,3,3
CoMa,LYSA,1,1,1,1
Kook,LYSA,1,2,1,1
SaKl,LYSA,1,1,1,1
AnTa,LYSA,1,1,1,1
LiOw,LYSA,1,1,1,1
JINB,LYSA,1,1,1,1
NiMi,LYSA,1,3,1,1
RM,LYST,7,2,7,11
ChJP,LYST,1,1,1,1
PDog,LYST,3,1,5,6
Bang,LYST,3,1,3,4
RoSp,LYST,1,1,1,1
SRab,LYST,1,1,1,1
AnWe,LYST,1,1,1,1
NoCo,LYST,1,1,1,1
JaTo,LYST,1,1,1,1
Aoki,LYST,1,3,1,1
BoCh,LYST,1,1,1,2
SUGA,LYST,5,2,5,8
jhop,LYST,5,2,5,7
OrGa,LYST,1,1,1,1
MLBr,LYST,1,1,1,1
ADOR,LYST,3,1,3,4
SJKy,LYST,1,1,1,1
loph,LYST,1,1,1,1
MNEK,LYST,1,1,1,1
Sosa,LYST,1,1,1,2
DJSw,LYST,1,1,1,2
Kook,LYST,1,2,1,1
HisN,LYST,1,1,1,1
RoCa,LYST,1,1,1,1
LiOw,LYST,1,1,1,1
AlTa,LYST,1,1,1,1
JINB,LYST,1,1,1,1
SBoi,LYST,1,1,1,1
DOCS,LYST,1,1,1,1
SMSu,LYST,1,1,1,1
Yode,Mpcl,3,1,3,4
PiJo,Mpcl,3,1,3,3
KaLa,Mpcl,1,1,1,1
PDBu,Mpcl,1,1,1,1
Herv,Mpcl,3,1,3,3
Malo,Mpcl,3,1,3,3
PYLe,Mpcl,1,1,1,1
Mios,Mpcl,1,1,1,1
JeAt,Mpcl,1,1,1,1
BoLa,Mpcl,1,1,1,1
Emin,Kami,7,2,7,13
LuRe,Kami,3,1,3,5
IDaP,Kami,3,1,3,4
MaJa,Kami,1,1,1,1
RonJ,Kami,1,1,1,2
Plus,Kami,1,1,1,1
ToDa,Kami,1,1,1,1
Back,Kami,1,1,1,1
MWMI,Kami,1,1,1,2
JoLu,Kami,1,3,1,1
Boid,Kami,1,1,1,1
JaSw,Kami,1,1,1,1
PaRo,Kami,1,1,1,1
ErBo,Kami,1,1,1,1
HaWi,Kami,1,1,1,1
FrWa,Kami,1,1,1,1
YuNa,Kami,1,1,1,1
Sone,Kami,1,1,1,2
Lone,Kami,1,1,1,1
SwAl,Kami,1,1,1,1
MaRe,Kami,1,1,1,1
KeGo,Kami,1,1,1,1
TiGo,Kami,1,1,1,1
TaKe,Kami,1,1,1,1
Royc,Kami,1,3,1,1
DwSi,Kami,1,1,1,1
Bobc,Kami,1,1,1,1
LLCJ,Kami,1,1,1,1
TiSu,Kami,1,1,1,1
JusV,Kami,1,1,1,1
DJBu,Kami,1,1,1,1
FrBa,Kami,1,1,1,1
JeRe,Kami,1,3,1,2
YuYa,Kami,1,1,1,1
LiGo,Kami,1,1,1,1
NoAo,Kami,1,1,1,1
RoTr,Kami,1,1,1,1
BjUl,MMia,7,1,7,18
BeAn,MMia,7,1,7,18
StAn,MMia,3,1,3,9
EdSh,divi,7,2,7,12
JMcD,divi,3,1,5,7
bebl,divi,3,1,5,6
JuMi,divi,1,1,1,1
StMa,divi,1,1,1,1
TTHa,divi,1,1,1,1
Kand,divi,1,1,1,1
KeBr,divi,1,1,1,1
NiDu,divi,1,1,1,1
StGr,divi,1,1,1,1
EaMu,divi,1,1,1,1
LiBa,divi,1,1,1,1
AmWa,divi,1,1,1,1
FoVa,divi,1,1,1,2
DMcK,divi,1,1,1,1
StEa,divi,1,1,1,1
RyTe,divi,1,1,1,1
JeWa,divi,1,1,1,1
AmMa,divi,1,1,1,1
TaSw,repu,7,2,7,15
AlPa,repu,1,1,1,1
Shel,repu,3,1,7,9
MaxM,repu,3,1,7,9
Futu,repu,1,3,1,1
EdSh,repu,1,3,1,1
RoMa,repu,1,1,1,1
RiFa,repu,1,1,1,1
FrFa,repu,1,1,1,1
JaAn,repu,3,1,5,6
OZGO,repu,1,1,1,1
OsHo,repu,1,1,1,1
Pink,BeTr,7,2,7,13
JaAn,BeTr,1,1,1,2
Shel,BeTr,3,1,3,3
MaxM,BeTr,3,1,3,4
Emin,BeTr,1,3,1,1
StMa,BeTr,1,1,1,1
JMcD,BeTr,1,1,1,1
GrKu,BeTr,1,1,1,2
AStr,BeTr,1,1,1,1
JuMi,BeTr,1,1,1,2
JaJe,BeTr,1,1,1,1
RoGo,BeTr,1,1,1,1
RoFr,BeTr,1,1,1,1
MaLa,BeTr,1,1,1,1
OsHo,BeTr,1,1,1,1
SaDe,BeTr,1,1,1,1
ChMe,BeTr,1,1,1,1
BiMa,BeTr,1,1,1,1
busb,BeTr,1,1,1,2
TJJr,BeTr,1,1,1,1
RnBM,Huma,7,2,7,12
JaHa,Huma,1,1,1,1
TIPu,Huma,1,1,1,2
SiAl,Huma,1,1,1,2
JaSc,Huma,3,1,3,4
DaBr,Huma,1,1,1,1
MiNe,Huma,1,1,1,1
JoCo,Huma,3,1,3,4
AnJa,Huma,1,1,1,2
DaPr,Huma,1,1,1,2
MaCr,Huma,1,1,1,2
FoVa,Huma,1,1,1,1
FrCo,Huma,1,1,1,1
InWr,Huma,1,1,1,1
SamS,ToIA,7,2,7,10
TEHe,ToIA,1,1,1,1
MiSt,ToIA,1,1,1,1
JiNa,ToIA,5,1,5,7
