id,name,type,sex,origin,genre,language,year,tracks
40,40,1,2,7,NA,NA,NA,NA
1989,1989 by Taylor Swift,2,NA,NA,1,1,2014,13
Aali,Aalias,1,2,2,NA,NA,NA,NA
AdRo,Ad Rock,1,2,2,NA,NA,NA,NA
Adam,Adam Baptiste,1,2,9,NA,NA,NA,NA
Alan,Alan Chang,1,2,2,NA,NA,NA,NA
Alexda,Alex da Kid,1,2,1,NA,NA,NA,NA
AliP,Ali Payami,1,2,10,NA,NA,NA,NA
AliT,Ali Tamposi,1,1,2,NA,NA,NA,NA
Amir,Amir Amor,1,2,1,NA,NA,NA,NA
Amit,Amit Duvdevani,1,2,10,NA,NA,NA,NA
Ammo,Ammo,1,2,2,NA,NA,NA,NA
AmyFo,Amy Foster-Gillies,1,1,7,NA,NA,NA,NA
AmyWa,Amy Wadge,1,1,1,NA,NA,NA,NA
AndrewTo,Andrew Tolman,1,2,2,NA,NA,NA,NA
AndrewWy,Andrew Wyatt,1,2,2,NA,NA,NA,NA
AngusY,Angus Young,1,2,1,NA,NA,NA,NA
Anju,Anjulie,1,1,7,NA,NA,NA,NA
AnthonyM,Anthony Moore,1,2,1,NA,NA,NA,NA
Arab,Arabian Prince,1,2,2,NA,NA,NA,NA
AriLe,Ari Levine,1,2,2,NA,NA,NA,NA
ArtNe,Art Neville,1,2,2,NA,NA,NA,NA
ArtP,Artpop by Lady Gaga,2,NA,NA,1,1,2013,15
Avic,Avicii,1,2,9,NA,NA,NA,NA
BarryG,Barry Gibb,1,2,1,NA,NA,NA,NA
Bebe,Bebe Rexha,1,1,2,NA,NA,NA,NA
BenMc,Ben McKee,1,2,2,NA,NA,NA,NA
BennyB,Benny Blanco,1,2,2,NA,NA,NA,NA
BerryG,Berry Gordy,1,2,2,NA,NA,NA,NA
BertK,Bert Kalmar,1,2,2,NA,NA,NA,NA
Beyonc,Beyoncé,1,1,2,NA,NA,NA,NA
Beyo,Beyoncé by Beyoncé,2,NA,NA,7,1,2013,14
BillySq,Billy Squier,1,2,2,NA,NA,NA,NA
Bloods,Bloodshy,1,2,9,NA,NA,NA,NA
BonnieM,Bonnie McKee,1,1,2,NA,NA,NA,NA
BOOT,BOOTS,1,2,2,NA,NA,NA,NA
BrianS,Brian Soko,1,2,10,NA,NA,NA,NA
BrittanyT,Brittany Tolman,1,1,NA,NA,NA,NA,NA
Brod,Brody Brown,1,2,2,NA,NA,NA,NA
Brun,Bruno Mars,1,2,2,NA,NA,NA,NA
BryanAd,Bryan Adams,1,2,7,NA,NA,NA,NA
CCar,C. Carson Parks,1,2,2,NA,NA,NA,NA
Came,Camela Leierth,1,1,9,NA,NA,NA,NA
CarlF,Carl Falk,1,2,9,NA,NA,NA,NA
CarolinePo,Caroline Polachek,1,1,2,NA,NA,NA,NA
CarolynLe,Carolyn Leigh,1,1,2,NA,NA,NA,NA
CharlesS,Charles Still,1,2,2,NA,NA,NA,NA
ChillyG,Chilly Gonzales,1,2,7,NA,NA,NA,NA
ChinIn,Chin Injeti,1,2,7,NA,NA,NA,NA
ChrisCas,Chris Caswell,1,2,2,NA,NA,NA,NA
ChrisGod,Chris Godbey,1,2,2,NA,NA,NA,NA
ChrisMar,Chris Martin,1,2,1,NA,NA,NA,NA
ChrisBec,Christophe Beck,1,2,7,NA,NA,NA,NA
Cirk,Cirkut,1,2,7,NA,NA,NA,NA
