id,name,type,sex,origin,genre,language,year,tracks,second year
AaronD,Aaron Dessner,1,2,2,NA,NA,NA,NA,NA
AaronR,Aaron Raitiere,1,2,2,NA,NA,NA,NA,NA
Abbe,Abbey Road by The Beatles,2,NA,NA,4,1,2019,17,NA
Aboo,A Boogie wit da Hoodie,1,2,2,NA,NA,NA,NA,NA
Adam,Adam Messinger,1,2,7,NA,NA,NA,NA,NA
ADNL,ADN Lewis,1,2,2,NA,NA,NA,NA,NA
ADOR,ADORA,1,1,10,NA,NA,NA,NA,NA
Afte,After Hours by The Weeknd,2,NA,NA,7,1,2020,14,NA
AhnB,Ahn Bok-jin,1,NA,NA,NA,NA,NA,NA,NA
AKJa,A.K.Janeway,1,NA,NA,NA,NA,NA,NA,NA
AlDa,Al Darwish,1,2,10,NA,NA,NA,NA,NA
Alex,Alexander Karlsson,1,2,9,NA,NA,NA,NA,NA
Alexe,Alexej Viktorovitch,1,2,9,NA,NA,NA,NA,NA
AliT,Ali Tamposi,1,1,2,NA,NA,NA,NA,NA
Alli,Allie X,1,1,7,NA,NA,NA,NA,NA
AmyA,Amy Allen,1,1,2,NA,NA,NA,NA,NA
Ande,Anders Dannvik,1,2,9,NA,NA,NA,NA,NA
Ander,Anders Wikström,1,2,9,NA,NA,NA,NA,NA
Andr,Andreas Johansson,1,2,9,NA,NA,NA,NA,NA
Andre,André 3000,1,2,2,NA,NA,NA,NA,NA
AndrewF,Andrew Farriss,1,2,10,NA,NA,NA,NA,NA
AndrewW,Andrew Wyatt,1,2,2,NA,NA,NA,NA,NA
Anth,Anthony Rossomando,1,2,2,NA,NA,NA,NA,NA
Antho,Anthoine Walters,1,NA ,NA,NA,NA,NA,NA,NA
Anto,Antonina Armato,1,1,2,NA,NA,NA,NA,NA
ARAS,ARASHI,1,2,10,NA,NA,NA,NA,NA
Aria,Ariana Grande,1,1,2,NA,NA,NA,NA,NA
Arst,Arston,1,2,10,NA,NA,NA,NA,NA
AshleyB,Ashley Boyd,1,NA,NA,NA,NA,NA,NA,NA
AshleyJ,Ashley Joi Sadler,1,1,NA,NA,NA,NA,NA,NA
ASIL,ASIL (JPN),1,NA,NA,NA,NA,NA,NA,NA
ASta,A Star is Born OST by Lady Gaga & Bradley Cooper,2,NA,NA,1,1,2018,18,2019
Audi,Audien,1,2,2,NA,NA,NA,NA,NA
Augu,August Rigo,1,2,7,NA,NA,NA,NA,NA
Ayum,Ayumi Miyazaki,1,2,10,NA,NA,NA,NA,NA
Bard,Bard McNamee,1,2,2,NA,NA,NA,NA,NA
BE,BE by BTS,2,NA,NA,11,6,2020,8,NA
Bell,Belly,1,2,10,NA,NA,NA,NA,NA
Beng,Bengy Gibson,1,2,2,NA,NA,NA,NA,NA
BenK,Ben Kohn,1,2,1,NA,NA,NA,NA,NA
benn,benny blanco,1,2,2,NA,NA,NA,NA,NA
Bern,Bernie Taupin,1,2,1,NA,NA,NA,NA,NA
BigB,Big Boi,1,2,2,NA,NA,NA,NA,NA
Bill,Billie Eilish,1,1,2,NA,NA,NA,NA,NA
Billy,Billy Walsh,1,2,2,NA,NA,NA,NA,NA
Bing,Bing Crosby,1,2,2,NA,NA,NA,NA,NA
BJKh,BJ Khan,1,NA,NA,NA,NA,NA,NA,NA
Bloo,BloodPop,1,2,2,NA,NA,NA,NA,NA
BluJ,Blu June,1,1,2,NA,NA,NA,NA,NA
Bobb,Bobby Chung,1,2,10,NA,NA,NA,NA,NA
Bohe,Bohemian Rhapsody: The Original Soundtrack by Queen,2,NA,NA,4,1,2018,21,2019
Boione,Boi-1da,1,2,7,NA,NA,NA,NA,NA
Brad,Bradley Cooper,1,2,2,NA,NA,NA,NA,NA
Bram,Bram Inscore,1,2,2,NA,NA,NA,NA,NA
Bren,Brendon Urie,1,2,2,NA,NA,NA,NA,NA
BrianL,Brian Lee,1,2,2,NA,NA,NA,NA,NA
BrianM,Brian May,1,2,1,NA,NA,NA,NA,NA
BrianMa,Brian Malik Baptiste,1,2,2,NA,NA,NA,NA,NA
Brit,Brittany Coney,1,1,2,NA,NA,NA,NA,NA
Brod,Brody Brown,1,2,2,NA,NA,NA,NA,NA
Brun,Bruno Mars,1,2,2,NA,NA,NA,NA,NA
Cami,Camilla Anne Stewart,1,NA,NA,NA,NA,NA,NA,NA
