from,to,weight,relation,participation,count
50Ce,No6C,1,3,1,1
7thA,5x20,1,1,1,1
AKJa,5x20,1,1,1,2
AaronD,folk,3,1,5,9
AaronR,ASta,1,1,3,3
Aboo,No6C,1,3,1,1
Adam,Chan,1,1,1,1
ADNL,MAPO7,1,1,1,1
ADOR,MAPO,1,1,1,1
ADOR,MAPO7,1,1,1,2
AhnB,MAPO7,1,1,1,1
AlDa,Chan,1,1,1,1
Alex,MAPO7,1,1,1,1
Alexe,MAPO7,1,1,1,1
AliT,Futu,1,1,1,1
Alli,MAPO7,1,1,1,1
AmyA,Fine,1,1,1,1
Ande,5x20,1,1,1,1
Ander,5x20,1,1,1,1
Andr,5x20,1,1,1,1
Andre3,No6C,1,1,1,1
AndrewF,Futu,1,1,1,1
AndrewW,ASta,1,1,1,1
Anth,ASta,1,1,1,1
Antho,Holl,1,1,1,1
Anto,MAPO7,3,1,3,4
Anto,BE,1,1,1,1
ARAS,5x20,1,2,1,2
Aria,Than,5,2,7,12
Arst,BE,1,1,1,1
AshleyB,Chan,1,1,3,3
AshleyJ,Chan,1,1,1,2
ASIL,5x20,1,1,1,2
Audi,MAPO7,1,1,1,1
Augu,MAPO7,1,1,3,3
Ayum,5x20,1,1,1,1
Bard,No6C,1,1,1,1
Bell,Afte,3,1,5,7
Beng,MAPO,1,1,1,1
Beng,MAPO7,1,1,1,1
BenK,Futu,1,1,1,1
benn,No6C,1,1,1,1
Bern,Afte,1,1,1,1
BigB,No6C,1,1,1,1
Bill,WHEN,5,2,7,12
Bill,Chan,1,1,1,1
Billy,Holl,5,1,7,15
Bing,Futu,1,1,1,1
BJKh,5x20,1,1,1,1
Bloo,Holl,1,1,1,1
BluJ,Than,1,1,1,1
Bobb,MAPO,1,1,1,1
Bobb,MAPO7,1,1,1,1
Boi1,No6C,1,1,1,1
Boi1,Chan,1,1,1,1
Brad,ASta,3,2,3,4
Bram,MAPO7,1,1,1,1
Bren,Love,1,3,1,1
BrianL,Holl,1,1,3,3
BrianM,Bohe,3,2,5,9
BrianMa,Than,1,1,1,1
Brit,Than,1,1,1,1
Brod,No6C,1,1,1,1
Brun,No6C,1,3,1,1
Cami,MAPO,1,1,1,1
Cami,MAPO7,1,1,1,1
Camil,No6C,1,3,1,1
Cand,MAPO,1,1,1,1
Cand,MAPO7,1,1,1,2
Card,No6C,1,3,1,1
Carl,Holl,1,1,1,2
Caro,Futu,1,1,1,2
Cart,Holl,1,1,1,2
Caut,Love,1,1,1,1
Cazz,MAPO7,1,1,1,1
Chanc,No6C,1,3,1,1
Chel,Futu,1,1,1,1
Chim,5x20,1,1,1,1
CHIME,5x20,1,1,1,1
Chris,5x20,1,1,1,2
ChrisJ,5x20,1,1,3,3
ChrisJa,BE,1,1,1,1
ChrisS,No6C,1,3,1,1
Christ,Ramm,5,2,7,11
Christo,Ramm,5,2,7,11
Chuc,Abbe,1,1,1,1
Clar,Futu,3,1,3,4
Clev,Chan,1,3,1,1
Clyd,MAPO7,1,1,1,1
Cosm,BE,1,1,1,1
Cour,Chan,1,1,1,1
CVRE,Chan,1,1,1,1
DaBa,Holl,1,3,1,1
DaHe,Afte,3,1,5,6
DanielC,MAPO7,1,1,1,1
DanielD,Chan,1,1,1,1
dank,MAPO7,1,1,1,1
Dave,No6C,1,3,1,1
