from,to,weight,relation,participation,count
40,Beyo,1,1,1,1
Aali,Revi,1,1,1,1
Aali,TheM,1,1,1,1
AaronD,folk,3,1,5,9
AaronP,Unde,1,1,1,1
AaronR,ASta,1,1,3,3
Aboo,NosixC,1,3,1,1
AdamM,Chan,1,1,1,1
AdamB,Pris,1,1,1,1
AdamM,Unde,1,1,1,1
AdamM,Beli,1,1,1,2
AdCa,SoEx,7,2,7,13
AdCa,DAMN,1,3,1,1
Adel,21by,5,2,7,11
Adel,19by,5,2,7,11
ADNL,MAPOsev,1,1,1,1
Adon,Unde,1,1,1,1
ADOR,LYSA,1,1,3,4
ADOR,LYST,3,1,3,4
ADOR,MAPO,1,1,1,1
ADOR,MAPOsev,1,1,1,2
Adri,Mylo,1,1,1,1
AdRo,DAMN,1,1,1,1
AdRo,Revi,1,1,1,1
AdRo,TheM,1,1,1,1
AhnB,MAPOsev,1,1,1,1
AJJu,UpAl,1,1,1,1
AKJa,fivextwenty,1,1,1,2
AlanC,ToBe,3,1,3,4
AlanC,Christ,1,1,1,2
AlanP,ThaC,1,1,1,1
Albe,DooW,1,1,1,1
Albi,Take,3,1,3,3
AlDa,Chan,1,1,1,1
Alex,MAPOsev,1,1,1,1
Alexa,Take,1,1,1,1
Alexda,Revi,1,1,3,3
Alexda,Loud,1,1,1,1
Alexda,Talk,1,1,1,1
Alexda,TheM,1,1,1,1
Alexda,Nigh,3,1,3,4
AlexDel,Loud,1,1,1,1
AlexDez,Beli,1,1,1,1
Alexe,MAPOsev,1,1,1,1
AlHa,SoEx,1,1,1,1
AlTa,Futu,1,1,1,1
Alja,Talk,1,1,1,1
AlKa,LYSA,1,1,1,1
AlKe,Revi,1,3,1,1
AlLe,Revi,1,3,1,1
Alli,MAPOsev,1,1,1,1
AlMa,Revi,1,1,1,1
AlPa,1989,1,1,1,1
AlPa,repu,1,1,1,1
AlSa,HaSt,5,1,5,8
AlSo,DAMN,1,1,1,1
AlTa,Four,1,1,1,1
AlTa,LYSA,1,1,3,3
AlTa,LYST,1,1,1,1
Amad,Unde,1,1,1,1
AMcB,Revi,1,1,1,1
Amir,x,1,1,1,1
Amit,ArtP,1,1,1,1
AmMa,divi,1,1,1,1
Ammo,Beyo,1,1,1,1
AmyA,Fine,1,1,1,1
AmyFo,Merr,1,1,1,1
