id,name,type,sex,origin,genre,language,year,tracks,second year
40,40,1,2,7,NA,NA,NA,NA,NA
1989,1989 by Taylor Swift,2,NA,NA,1,1,2014,13,NA
19by,19 by Adele,2,NA,NA,12,1,2011,12,NA
21by,21 by Adele,2,NA,NA,1,1,2011,12,2012
Aali,Aalias,1,2,2,NA,NA,NA,NA,NA
AaronD,Aaron Dessner,1,2,2,NA,NA,NA,NA,NA
AaronP,Aaron Pearce,1,2,NA,NA,NA,NA,NA,NA
AaronR,Aaron Raitiere,1,2,2,NA,NA,NA,NA,NA
Abbe,Abbey Road by The Beatles,2,NA,NA,4,1,2019,17,NA
Aboo,A Boogie wit da Hoodie,1,2,2,NA,NA,NA,NA,NA
AdamB,Adam Baptiste,1,2,9,NA,NA,NA,NA,NA
AdamM,Adam Messinger,1,2,7,NA,NA,NA,NA,NA
AdCa,Adam Cayton,1,2,10,NA,NA,NA,NA,NA
Adel,Adele,1,1,1,NA,NA,NA,NA,NA
ADNL,ADN Lewis,1,2,2,NA,NA,NA,NA,NA
Adon,Adonis,1,2,2,NA,NA,NA,NA,NA
ADOR,ADORA,1,1,10,NA,NA,NA,NA,NA
Adri,Adrienne Anderson,1,1,2,NA,NA,NA,NA,NA
AdRo,Ad-Rock,1,2,2,NA,NA,NA,NA,NA
Afte,After Hours by The Weeknd,2,NA,NA,7,1,2020,14,NA
AhnB,Ahn Bok-jin,1,NA,NA,NA,NA,NA,NA,NA
AJJu,AJ Junior,1,2,9,NA,NA,NA,NA,NA
AKJa,A.K.Janeway,1,NA,NA,NA,NA,NA,NA,NA
AlanC,Alan Chang,1,2,2,NA,NA,NA,NA,NA
AlanP,Alan Parsons,1,2,1,NA,NA,NA,NA,NA
Albe,Albert Winkler,1,2,NA,NA,NA,NA,NA,NA
Albi,Albin Nedler,1,2,9,NA,NA,NA,NA,NA
AlDa,Al Darwish,1,2,10,NA,NA,NA,NA,NA
Alex,Alexander Karlsson,1,2,9,NA,NA,NA,NA,NA
Alexa,Alexander Gowers,1,2,NA,NA,NA,NA,NA,NA
Alexda,Alex da Kid,1,2,1,NA,NA,NA,NA,NA
AlexDel,Alex Delicata,1,2,2,NA,NA,NA,NA,NA
AlexDez,Alex Dezen,1,2,2,NA,NA,NA,NA,NA
Alexe,Alexej Viktorovitch,1,2,9,NA,NA,NA,NA,NA
AlHa,Alana Haim,1,1,2,NA,NA,NA,NA,NA
Alja,Alja Jackson,1,1,NA,NA,NA,NA,NA,NA
AlKa,Allison Kaplan,1,1,2,NA,NA,NA,NA,NA
AlKe,Alicia Keys,1,1,2,NA,NA,NA,NA,NA
AlLe,Alice and the Glass Lake,1,1,2,NA,NA,NA,NA,NA
Alli,Allie X,1,1,7,NA,NA,NA,NA,NA
