from,to,weight,relation,participation,count
AaronP,Unde,1,1,1,1
AdamM,Unde,1,1,1,1
AdamM,Beli,1,1,1,2
Adel,21by,5,2,7,11
Adel,19by,5,2,7,11
Adon,Unde,1,1,1,1
Adri,Mylo,1,1,1,1
AJJu,UpAl,1,1,1,1
AlanC,Christ,1,1,1,2
AlanP,ThaC,1,1,1,1
Albe,DooW,1,1,1,1
Albi,Take,3,1,3,3
Alexa,Take,1,1,1,1
AlexDez,Beli,1,1,1,1
Alexda,Loud,1,1,1,1
Alexda,Talk,1,1,1,1
AlexDel,Loud,1,1,1,1
Alja,Talk,1,1,1,1
Amad,Unde,1,1,1,1
AmyF,Merr,1,1,1,1
AndrewWy,DooW,1,1,1,1
AndrewHa,Loud,1,1,1,2
Andre3,ThaC,1,3,1,1
AndreL,Beli,1,1,1,1
AndrewCa,ThaC,1,1,1,1
Anth,Talk,1,1,1,1
Anto,Beli,1,1,1,1
Arie,Beli,1,1,1,1
AriL,DooW,5,1,7,10
Augu,UpAl,1,1,1,1
Avri,Loud,1,1,1,1
AyoT,ThaC,1,1,1,1
B.o.B,DooW,1,3,1,1
Baby,Beli,1,1,1,1
Bang,Talk,1,1,1,1
Bang,ThaC,1,1,1,1
Bari,Talk,1,1,1,1
Beat,UpAl,1,1,1,1
BenLo,Babe,7,2,7,12
BenMa,Beli,1,1,1,1
Benn,Unap,1,1,1,1
BenWe,TheT,1,1,1,1
Berr,Beli,1,1,1,1
BigS,Beli,1,3,1,1
BillyHa,Christ,1,1,1,1
BillyMa,TheT,3,1,3,3
BillyHa,Merr,1,1,1,1
Bird,ThaC,3,1,5,7
blac,Beli,1,1,1,1
Blue,Take,1,1,1,1
BluJ,Unap,1,1,1,1
BobDy,19by,1,1,1,1
BobRo,Christ,1,1,1,1
Boi1,ThaC,1,1,1,1
BONN,Take,3,1,3,3
Bori,21by,1,1,1,1
Bran,Unde,1,1,1,1
BrianLe,BornTh,1,1,1,1
BrianEn,Mylo,1,1,1,2
BrianKe,Unap,1,1,1,1
Brod,DooW,3,1,1,2
Brun,DooW,5,2,7,10
Buck,Christ,1,1,1,1
BunB,ThaC,1,3,1,2
busbe,TheT,1,1,1,1
Bust,Unde,1,3,1,1
Bust,ThaC,1,3,1,2
Butc,TheT,1,1,1,1
Calv,Talk,1,3,1,2
Cand,Talk,1,1,1,1
CarlF,UpAl,3,1,3,3
CarlF,Take,3,1,5,6
Chec,BornTh,1,1,1,1
Chin,TheT,1,1,1,1
ChrisMa,Mylo,5,2,7,14
ChrisBro,Unde,1,1,1,1
ChrisIv,Loud,1,1,1,1
ChrisBra,BornTo,1,1,1,1
ChrisBro,Unap,1,3,1,1
Chuc,Talk,1,1,1,1
