id,name,type,sex,origin,genre,language,year,tracks,second year
19by,19 by Adele,2,NA,NA,12,1,2011,12,NA
21by,21 by Adele,2,NA,NA,1,1,2011,12,2012
AaronP,Aaron Pearce,1,2,NA,NA,NA,NA,NA,NA
AdamM,Adam Messinger,1,2,7,NA,NA,NA,NA,NA
Adel,Adele,1,1,1,NA,NA,NA,NA,NA
Adon,Adonis,1,2,2,NA,NA,NA,NA,NA
Adri,Adrienne Anderson,1,1,2,NA,NA,NA,NA,NA
AJJu,AJ Junior,1,2,9,NA,NA,NA,NA,NA
AlanC,Alan Chang,1,2,2,NA,NA,NA,NA,NA
AlanP,Alan Parsons,1,2,1,NA,NA,NA,NA,NA
Albe,Albert Winkler,1,2,NA,NA,NA,NA,NA,NA
Albi,Albin Nedler,1,2,9,NA,NA,NA,NA,NA
Alexda,Alex da Kid,1,2,1,NA,NA,NA,NA,NA
AlexDel,Alex Delicata,1,2,2,NA,NA,NA,NA,NA
AlexDez,Alex Dezen,1,2,2,NA,NA,NA,NA,NA
Alexa,Alexander Gowers,1,2,NA,NA,NA,NA,NA,NA
Alja,Alja Jackson,1,1,NA,NA,NA,NA,NA,NA
Amad,Amadeus,1,2,2,NA,NA,NA,NA,NA
AmyF,Amy Foster-Gillies,1,1,7,NA,NA,NA,NA,NA
Andre3,André 3000,1,2,2,NA,NA,NA,NA,NA
AndreL,Andre Lindal,1,2,10,NA,NA,NA,NA,NA
AndrewCa,Andrew Canton,1,2,2,NA,NA,NA,NA,NA
AndrewHa,Andrew Harr,1,2,2,NA,NA,NA,NA,NA
AndrewWy,Andrew Wyatt,1,2,2,NA,NA,NA,NA,NA
Anth,Anthony Best,1,2,2,NA,NA,NA,NA,NA
Anto,Antonio Dixon,1,2,2,NA,NA,NA,NA,NA
AriL,Ari Levine,1,2,NA,NA,NA,NA,NA,NA
Arie,Ariel Rechtshaid,1,2,2,NA,NA,NA,NA,NA
Augu,August Rigo,1,2,7,NA,NA,NA,NA,NA
Avri,Avril Lavigne,1,1,7,NA,NA,NA,NA,NA
AyoT,Ayo The Producer,1,2,2,NA,NA,NA,NA,NA
B.o.B,B.o.B,1,2,2,NA,NA,NA,NA,NA
Babe,Babel by Mumford & Sons,2,NA,NA,14,1,2012,12,NA
Baby,Babyface,1,2,2,NA,NA,NA,NA,NA
Bang,Bangladesh,1,2,2,NA,NA,NA,NA,NA
Bari,Baria Qureshi,1,1,1,NA,NA,NA,NA,NA
Beat,BeatGeek,1,NA,NA,NA,NA,NA,NA,NA
Beli,Believe by Justin Bieber,2,NA,NA,1,1,2012,13,NA
BenLo,Ben Lovett,1,2,1,NA,NA,NA,NA,NA
BenMa,Ben Maddahi,1,2,2,NA,NA,NA,NA,NA
BenWe,Ben West,1,2,2,NA,NA,NA,NA,NA
Benn,Benny Blanco,1,2,2,NA,NA,NA,NA,NA
Berr,Berry Gordy,1,2,2,NA,NA,NA,NA,NA
BigS,Big Sean,1,2,2,NA,NA,NA,NA,NA
BillyHa,Billy Hayes,1,2,2,NA,NA,NA,NA,NA
BillyMa,Billy Mann,1,2,2,NA,NA,NA,NA,NA
Bird,Birdman,1,2,2,NA,NA,NA,NA,NA
blac,blackbear,1,2,2,NA,NA,NA,NA,NA
BluJ,Blu June,1,1,2,NA,NA,NA,NA,NA
Blue,Blue Bear,1,2,1,NA,NA,NA,NA,NA
BobDy,Bob Dylan,1,2,2,NA,NA,NA,NA,NA
BobRo,Bob Rock,1,2,7,NA,NA,NA,NA,NA
Boi1,Boi-1da,1,2,10,NA,NA,NA,NA,NA
BONN,BONN,1,2,9,NA,NA,NA,NA,NA
Bori,Boris Williams,1,2,5,NA,NA,NA,NA,NA
BornTh,Born This Way by Lady Gaga,2,NA,NA,1,1,2011,14,NA
BornTo,Born To Die by Lana Del Rey,2,NA,NA,1,1,2012,12,NA
Bran,"Brandon ""Blue"" Hamilton",1,2,2,NA,NA,NA,NA,NA
BrianEn,Brian Eno,1,2,1,NA,NA,NA,NA,NA
BrianKe,Brian Kennedy,1,2,2,NA,NA,NA,NA,NA
BrianLe,Brian Lee,1,2,2,NA,NA,NA,NA,NA
Brod,Brody Brown,1,2,2,NA,NA,NA,NA,NA
Brun,Bruno Mars,1,2,2,NA,NA,NA,NA,NA
Buck,Buck Ram,1,2,2,NA,NA,NA,NA,NA
BunB,Bun B,1,2,2,NA,NA,NA,NA,NA
busbe,busbee,1,2,2,NA,NA,NA,NA,NA
Bust,Busta Rhymes,1,2,2,NA,NA,NA,NA,NA
Butc,Butch Walker,1,2,2,NA,NA,NA,NA,NA
Calv,Calvin Harris,1,2,1,NA,NA,NA,NA,NA
Cand,Candice Pillay,1,1,10,NA,NA,NA,NA,NA
CarlF,Carl Falk,1,2,9,NA,NA,NA,NA,NA
Chec,Cheche Alara,1,2,10,NA,NA,NA,NA,NA
Chin,Chin Injeti,1,2,7,NA,NA,NA,NA,NA
ChrisBra,Chris Braide,1,2,1,NA,NA,NA,NA,NA
ChrisBro,Chris Brown,1,2,2,NA,NA,NA,NA,NA
ChrisIv,Chris Ivery,1,2,2,NA,NA,NA,NA,NA
ChrisMa,Chris Martin,1,2,1,NA,NA,NA,NA,NA
Christ,Christmas by Michael Bublé,2,NA,NA,13,1,2011,19,NA
Chuc,Chucky Thompson,1,2,2,NA,NA,NA,NA,NA
Cirk,Cirkut,1,2,7,NA,NA,NA,NA,NA
Clau,Claude Kelly,1,2,2,NA,NA,NA,NA,NA
Clay,Clay Wells Holley,1,2,NA,NA,NA,NA,NA,NA
Clin,Clinton Sparks,1,2,2,NA,NA,NA,NA,NA
Cool,Cool,1,2,2,NA,NA,NA,NA,NA
Core,Corey Gibson,1,2,NA,NA,NA,NA,NA,NA
Cory,Cory Gunz,1,2,2,NA,NA,NA,NA,NA
Crys,Crystal Nicole,1,1,2,NA,NA,NA,NA,NA
Dami,Damian Marley,1,2,10,NA,NA,NA,NA,NA
Damo,Damon Thomas,1,2,2,NA,NA,NA,NA,NA
DanHe,Dan Heath,1,2,NA,NA,NA,NA,NA,NA
DanKa,Dan Kanter,1,2,7,NA,NA,NA,NA,NA
DanWi,Dan Wilson,1,2,2,NA,NA,NA,NA,NA
DannyJ,Danny Jones,1,2,1,NA,NA,NA,NA,NA
DannyW,Danny Wilson,1,2,1,NA,NA,NA,NA,NA
Darr,Darren Black,1,2,1,NA,NA,NA,NA,NA
DavidFo,David Foster,1,2,7,NA,NA,NA,NA,NA
DavidGu,David Guetta,1,2,5,NA,NA,NA,NA,NA
DavidSc,David Schuler,1,2,2,NA,NA,NA,NA,NA
DavidSn,David Sneddon,1,2,1,NA,NA,NA,NA,NA
Deke,Deke Richards,1,2,2,NA,NA,NA,NA,NA
DemJ,Dem Jointz,1,2,2,NA,NA,NA,NA,NA
Denn,"Dennis ""Aganee"" Jenkins",1,2,2,NA,NA,NA,NA,NA
Deta,Detail,1,2,2,NA,NA,NA,NA,NA
Dick,Dick Smith,1,2,2,NA,NA,NA,NA,NA
Dipl,Diplo,1,2,2,NA,NA,NA,NA,NA
DJKh,DJ Khalil,1,2,2,NA,NA,NA,NA,NA
DJSn,DJ Snake,1,2,5,NA,NA,NA,NA,NA
DJWh,DJ White Shadow,1,2,2,NA,NA,NA,NA,NA
DooW,Doo-Wops & Hooligans by Bruno Mars,3,NA,NA,1,1,2011,10,NA
Doug,Dougie Poynter,1,2,1,NA,NA,NA,NA,NA
